task_id,task,deadline_days,complexity,resources,dependencies,priority,success,delay,gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,task_length,deadline_urgency,resource_efficiency,start_delay,completion_time,abandoned
REAL-001,Launch a health supplement brand in India targeting mothers aged 25-45,60,0.85,0.4,5,1,0,1,,,,,,,,,,,,12.0,60,1
REAL-002,Migrate legacy SQL database to AWS RDS with zero downtime,14,0.75,0.8,2,2,1,0,,,,,,,,,,,,0.0,14,0
REAL-003,Implement GDPR compliance for a mid-sized SaaS platform,90,0.65,0.7,4,3,1,0,,,,,,,,,,,,0.0,90,0
REAL-004,Develop and launch a mobile app for hyper-local grocery delivery,120,0.9,0.5,10,1,0,1,,,,,,,,,,,,24.0,120,1
REAL-005,Setup a multi-agent AI customer support system using AegisAI,30,0.8,0.6,3,2,1,1,,,,,,,,,,,,6.0,30,0
REAL-006,Conduct a nationwide marketing campaign for eco-friendly packaging,45,0.7,0.5,6,3,0,1,,,,,,,,,,,,9.0,45,1
REAL-007,Optimize supply chain logistics for a D2C fashion brand,60,0.6,0.8,3,2,1,0,,,,,,,,,,,,0.0,60,0
REAL-008,Security audit and penetration testing for a fintech application,21,0.85,0.9,2,1,1,0,,,,,,,,,,,,0.0,21,0
REAL-009,Scalability testing for a video streaming service hitting 1M users,14,0.8,0.7,4,2,0,1,,,,,,,,,,,,2.8000000000000003,14,1
REAL-010,Recruit and onboard 10 senior software engineers in 30 days,30,0.75,0.4,1,1,0,0,,,,,,,,,,,,0.0,30,0
,Academic performance evaluation for group B,30,0.8,1.0,0,3,1,0,female,group B,bachelor's degree,standard,none,72.0,72.0,74.0,,,,0.0,30,0
,Academic performance evaluation for group C,30,0.4,1.0,0,3,1,0,female,group C,some college,standard,completed,69.0,90.0,88.0,,,,0.0,30,0
,Academic performance evaluation for group B,30,0.8,1.0,0,5,1,0,female,group B,master's degree,standard,none,90.0,95.0,93.0,,,,0.0,30,0
,Academic performance evaluation for group A,30,0.8,0.5,0,3,0,0,male,group A,associate's degree,free/reduced,none,47.0,57.0,44.0,,,,0.0,30,0
,Academic performance evaluation for group C,30,0.8,1.0,0,3,1,0,male,group C,some college,standard,none,76.0,78.0,75.0,,,,0.0,30,0
,Academic performance evaluation for group B,30,0.4,1.0,0,3,1,0,female,group B,some college,standard,completed,88.0,95.0,92.0,,,,0.0,30,0
,Academic performance evaluation for group B,30,0.8,0.5,0,3,0,0,male,group B,some college,free/reduced,none,40.0,43.0,39.0,,,,0.0,30,0
,Academic performance evaluation for group D,30,0.4,0.5,0,3,0,0,male,group D,high school,free/reduced,completed,64.0,64.0,67.0,,,,0.0,30,0
,Academic performance evaluation for group D,30,0.8,1.0,0,3,0,0,male,group D,associate's degree,standard,none,40.0,52.0,43.0,,,,0.0,30,0
,Academic performance evaluation for group A,30,0.4,1.0,0,3,1,0,male,group A,some college,standard,completed,78.0,72.0,70.0,,,,0.0,30,0
,Academic performance evaluation for group A,30,0.8,1.0,0,5,0,0,female,group A,master's degree,standard,none,50.0,53.0,58.0,,,,0.0,30,0
,Academic performance evaluation for group C,30,0.4,0.5,0,5,0,0,male,group C,master's degree,free/reduced,completed,46.0,42.0,46.0,,,,0.0,30,0
,Academic performance evaluation for group C,30,0.8,0.5,0,3,0,0,female,group C,associate's degree,free/reduced,none,54.0,58.0,61.0,,,,0.0,30,0
,Academic performance evaluation for group B,30,0.4,0.5,0,3,0,0,female,group B,some college,free/reduced,completed,65.0,75.0,70.0,,,,0.0,30,0
,Academic performance evaluation for group A,30,0.8,0.5,0,5,1,0,male,group A,master's degree,free/reduced,none,73.0,74.0,72.0,,,,0.0,30,0
,Academic performance evaluation for group D,30,0.8,1.0,0,5,0,0,female,group D,master's degree,standard,none,62.0,70.0,75.0,,,,0.0,30,0
,Academic performance evaluation for group E,30,0.8,0.5,0,5,0,0,female,group E,master's degree,free/reduced,none,56.0,72.0,65.0,,,,0.0,30,0
,Academic performance evaluation for group E,30,0.8,1.0,0,3,1,0,male,group E,some college,standard,none,97.0,87.0,82.0,,,,0.0,30,0
,Academic performance evaluation for group E,30,0.4,1.0,0,3,1,0,male,group E,associate's degree,standard,completed,81.0,81.0,79.0,,,,0.0,30,0
,Academic performance evaluation for group D,30,0.8,0.5,0,3,0,0,female,group D,some high school,free/reduced,none,50.0,64.0,59.0,,,,0.0,30,0
,Academic performance evaluation for group E,30,0.8,0.5,0,3,0,0,female,group E,associate's degree,free/reduced,none,50.0,56.0,54.0,,,,0.0,30,0
,Academic performance evaluation for group E,30,0.4,0.5,0,3,1,0,male,group E,associate's degree,free/reduced,completed,77.0,69.0,68.0,,,,0.0,30,0
,Academic performance evaluation for group C,30,0.4,0.5,0,3,1,0,female,group C,some high school,free/reduced,completed,71.0,84.0,87.0,,,,0.0,30,0
,Academic performance evaluation for group D,30,0.4,1.0,0,3,0,0,male,group D,some college,standard,completed,58.0,59.0,58.0,,,,0.0,30,0
,Academic performance evaluation for group E,30,0.8,1.0,0,5,0,0,female,group E,master's degree,standard,none,62.0,68.0,68.0,,,,0.0,30,0
,Academic performance evaluation for group A,30,0.4,0.5,0,3,0,0,male,group A,some college,free/reduced,completed,50.0,47.0,54.0,,,,0.0,30,0
,Academic performance evaluation for group A,30,0.8,1.0,0,3,0,0,female,group A,some college,standard,none,58.0,70.0,67.0,,,,0.0,30,0
,Academic performance evaluation for group B,30,0.8,0.5,0,5,0,0,male,group B,master's degree,free/reduced,none,49.0,53.0,52.0,,,,0.0,30,0
,Academic performance evaluation for group B,30,0.4,0.5,0,5,1,0,female,group B,master's degree,free/reduced,completed,58.0,76.0,78.0,,,,0.0,30,0
